Country,2014Amt,2015Amt,2016Amt
Afghanistan,"2,202,642,037","2,224,419,103","1,263,122,571"
Albania,"21,502,503","18,553,548","11,788,431"
Algeria,"7,494,186","7,504,667","1,983,881"
Angola,"67,107,300","61,494,920","52,439,601"
Antigua and Barbuda,,"14,130","3,780"
Argentina,"1,946,256","1,825,092",
Armenia,"37,272,007","39,333,349","24,089,150"
Azerbaijan,"27,489,691","22,512,506","11,170,994"
Bahamas,"1,305,824","767,064","51,562"
Bahrain,"626,968","1,259,711",
Bangladesh,"261,713,436","250,830,290","222,750,371"
Barbados,"69,808","208,240","4,593"
Belarus,"15,088,903","17,390,445","8,505,418"
Belgium,"2,100,238","5,775,753",
Belize,"2,289,513","1,837,129","288,971"
Benin,"25,179,853","52,991,568","33,173,074"
Bhutan,"327,412","780,088","291,863"
Bolivia,"32,976,527","59,144,311","49,283"
Bosnia and Herzegovina,"48,095,613","42,639,175","26,187,912"
Botswana,"56,364,651","51,461,760","12,893,047"
Brazil,"21,781,537","19,110,645","8,332,332"
Brunei,"243,098","94,092",
Bulgaria,"6,285,952","8,614,815","263,341"
Burkina Faso,"228,821,517","78,145,904","44,402,220"
Burma (Myanmar),"90,729,283","111,593,470","123,248,627"
Burundi,"33,322,571","48,383,365","42,846,592"
Cabo Verde,"7,743,474","11,303,648","3,937,068"
Cambodia,"87,779,748","91,597,169","74,500,942"
Cameroon,"38,602,231","57,617,656","46,325,330"
Canada,"373,185","47,034,682",
Central African Republic,"47,904,055","69,877,823","64,312,115"
Chad,"81,335,106","68,253,115","32,246,069"
Chile,"3,593,502","2,221,418","446,355"
China (PR Hong Kong),"204,179","195,465",
China (P.R.C.),"46,134,871","36,793,917","14,161,219"
"China, Republic of (Taiwan)","1,589,835","667,912","362,173"
Colombia,"371,519,768","632,849,729","161,668,693"
Comoros,"423,334","1,028,710","348,236"
Congo (Brazzaville),"5,170,525","2,363,880","1,318,145"
Congo (Kinshasa),"333,663,241","843,634,680","301,269,749"
Costa Rica,"9,336,360","7,881,859","3,763,311"
Cote d'Ivoire,"109,849,251","57,684,427","45,895,154"
Croatia,"3,869,221","2,619,789","56,103"
Cuba,"11,639,090","13,146,845","2,236,004"
Cyprus,"5,599,442","2,398,758","1,550,404"
Czechia,"879,398","1,155,914",
Djibouti,"11,320,049","9,188,790","3,282,176"
Dominica,"479,000","393,000","149,392"
Dominican Republic,"48,813,932","43,959,920","36,387,366"
Ecuador,"39,971,141","35,929,017","5,807,111"
Egypt,"106,090,666","101,232,479","159,935,054"
El Salvador,"64,353,305","67,135,678","68,135,323"
Equatorial Guinea,"192,661","232,534","56,180"
Eritrea,"133,308","80,230",-12
Estonia,"2,289,902","2,746,345",
Ethiopia,"674,021,198","682,242,486","730,911,332"
Fiji,"1,968,058","1,779,446","2,013,752"
France,"662,025","2,946,292",
Gabon,"6,705,222","9,467,764","138,308"
Gambia,"1,989,116","2,229,513","508,073"
Georgia,"235,710,965","50,901,995","57,064,755"
Germany,"348,659","3,864,921",
Ghana,"118,434,358","194,375,413","187,527,162"
Greece,"459,018","706,470","90,330"
Grenada,"21,550","4,928",
Guatemala,"126,797,526","123,401,470","121,697,060"
Guinea,"35,969,337","75,445,694","103,115,154"
Guinea-Bissau,"3,239,989","1,545,527","3,368,107"
Haiti,"345,916,448","387,705,008","301,893,290"
Honduras,"90,731,492","83,857,987","120,713,714"
Hungary,"14,176,954","2,157,017","897,346"
India,"116,933,144","110,364,115","89,143,269"
Indonesia,"212,176,760","232,098,398","162,624,011"
Iran,"1,032,484","674,800",
Iraq,"382,746,222","371,108,946","158,463,336"
Ireland,"5,300,000","1,520,000",
Israel,"19,743,998","15,699,774","4,188,982"
Italy,"1,520,061","645,996",
Jamaica,"26,096,027","27,338,286","19,490,628"
Japan,"3,140,009","8,492,882",
Jordan,"755,888,767","1,074,204,835","514,068,190"
Kazakhstan,"63,139,904","63,266,506","15,262,500"
Kenya,"840,507,737","746,024,724","461,927,362"
Korea Republic,"1,043,100","3,433,770","312,222"
"Korea, Democratic Republic","2,041,485","2,003,873","5,394"
Kuwait,"92,372","226,957",
Kyrgyzstan,"63,991,600","63,554,845","39,583,624"
Laos,"15,289,913","18,323,159","14,881,734"
Latvia,"1,176,167","881,965",
Lebanon,"113,139,649","275,661,720","107,487,114"
Lesotho,"72,433,008","29,072,491","24,797,919"
Liberia,"201,106,074","501,105,764","318,640,226"
Libya,"18,121,772","24,035,393","14,680,830"
Lithuania,"2,920,263","5,487,156",
Macedonia,"24,349,131","23,565,948","18,124,888"
Madagascar,"67,151,870","152,164,694","85,840,559"
Malawi,"232,066,877","211,400,907","279,364,661"
Malaysia,"7,005,439","8,355,125","644,449"
Maldives,"928,339","428,551","1,197,540"
Mali,"192,242,997","162,995,991","164,510,364"
Malta,"560,129","637,035",
Marshall Islands,"62,062,343","69,098,093","1,798,880"
Mauritania,"14,081,278","24,267,414","9,614,173"
Mauritius,"570,577","302,765","45,166"
Mexico,"174,119,542","283,399,756","54,197,659"
Micronesia (Federated States),"141,312,792","91,706,396","13,857,749"
Moldova,"127,714,443","121,614,414","42,148,408"
Mongolia,"27,462,775","12,090,788","2,569,619"
Montenegro,"3,075,954","2,307,024",
Morocco,"40,794,920","15,060,351","28,768,077"
